Tempo: 0.02s	Velocidade angular do Motor: 0 RPM	PWM: 236.00	 Pulsos por periodo: 0
Tempo: 0.12s	Velocidade angular do Motor: -77 RPM	PWM: 251.00	 Pulsos por periodo: -44
Tempo: 0.22s	Velocidade angular do Motor: -148 RPM	PWM: 251.00	 Pulsos por periodo: -84
Tempo: 0.32s	Velocidade angular do Motor: -169 RPM	PWM: 249.00	 Pulsos por periodo: -96
Tempo: 0.42s	Velocidade angular do Motor: -172 RPM	PWM: 250.00	 Pulsos por periodo: -98
Tempo: 0.52s	Velocidade angular do Motor: -174 RPM	PWM: 251.00	 Pulsos por periodo: -99
Tempo: 0.62s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 0.72s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 0.82s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 0.92s	Velocidade angular do Motor: -179 RPM	PWM: 250.00	 Pulsos por periodo: -102
Tempo: 1.02s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 1.12s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 1.22s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 1.32s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 1.42s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 1.52s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 1.62s	Velocidade angular do Motor: -179 RPM	PWM: 250.00	 Pulsos por periodo: -102
Tempo: 1.72s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 1.82s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 1.92s	Velocidade angular do Motor: -179 RPM	PWM: 253.00	 Pulsos por periodo: -102
Tempo: 2.02s	Velocidade angular do Motor: -181 RPM	PWM: 250.00	 Pulsos por periodo: -103
Tempo: 2.12s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 2.22s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 2.32s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 2.42s	Velocidade angular do Motor: -171 RPM	PWM: 249.00	 Pulsos por periodo: -97
Tempo: 2.52s	Velocidade angular do Motor: -167 RPM	PWM: 252.00	 Pulsos por periodo: -95
Tempo: 2.62s	Velocidade angular do Motor: -169 RPM	PWM: 251.00	 Pulsos por periodo: -96
Tempo: 2.72s	Velocidade angular do Motor: -171 RPM	PWM: 252.00	 Pulsos por periodo: -97
Tempo: 2.82s	Velocidade angular do Motor: -171 RPM	PWM: 250.00	 Pulsos por periodo: -97
Tempo: 2.92s	Velocidade angular do Motor: -172 RPM	PWM: 251.00	 Pulsos por periodo: -98
Tempo: 3.02s	Velocidade angular do Motor: -172 RPM	PWM: 250.00	 Pulsos por periodo: -98
Tempo: 3.12s	Velocidade angular do Motor: -171 RPM	PWM: 251.00	 Pulsos por periodo: -97
Tempo: 3.22s	Velocidade angular do Motor: -174 RPM	PWM: 251.00	 Pulsos por periodo: -99
Tempo: 3.32s	Velocidade angular do Motor: -172 RPM	PWM: 253.00	 Pulsos por periodo: -98
Tempo: 3.42s	Velocidade angular do Motor: -172 RPM	PWM: 249.00	 Pulsos por periodo: -98
Tempo: 3.52s	Velocidade angular do Motor: -174 RPM	PWM: 250.00	 Pulsos por periodo: -99
Tempo: 3.62s	Velocidade angular do Motor: -174 RPM	PWM: 251.00	 Pulsos por periodo: -99
Tempo: 3.72s	Velocidade angular do Motor: -172 RPM	PWM: 251.00	 Pulsos por periodo: -98
Tempo: 3.82s	Velocidade angular do Motor: -174 RPM	PWM: 252.00	 Pulsos por periodo: -99
Tempo: 3.92s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 4.02s	Velocidade angular do Motor: -172 RPM	PWM: 252.00	 Pulsos por periodo: -98
Tempo: 4.12s	Velocidade angular do Motor: -174 RPM	PWM: 253.00	 Pulsos por periodo: -99
Tempo: 4.22s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 4.32s	Velocidade angular do Motor: -174 RPM	PWM: 251.00	 Pulsos por periodo: -99
Tempo: 4.42s	Velocidade angular do Motor: -174 RPM	PWM: 250.00	 Pulsos por periodo: -99
Tempo: 4.52s	Velocidade angular do Motor: -176 RPM	PWM: 253.00	 Pulsos por periodo: -100
Tempo: 4.62s	Velocidade angular do Motor: -174 RPM	PWM: 251.00	 Pulsos por periodo: -99
Tempo: 4.72s	Velocidade angular do Motor: -176 RPM	PWM: 252.00	 Pulsos por periodo: -100
