Tempo,Vel,PWM,PulsoPeriodo,Res,TC1,TC2,TED
0.16,53,122.00,30.00,268,15.855.998.992.919.900.000,15.856.800.079.345.700.000,1.010
0.39,229,122.00,160.00,268,38.631.999.969.482.400.000,38.632.801.055.908.200.000,1.010
0.61,283,122.00,321.00,267,61.615.996.360.778.800.000,61.617.202.758.789.000.000,1.020
0.85,297,122.00,490.00,268,84.600.000.381.469.700.000,84.601.202.011.108.300.000,1.020
01.08,297,122.00,659.00,267,107.583.999.633.789.000.000,107.584.798.336.029.000.000,1.020
1.30,301,122.00,830.00,267,130.568.003.654.479.000.000,130.568.802.356.719.000.000,1.010
1.53,301,122.00,1001.00,268,153.551.998.138.427.000.000,153.552.794.456.481.000.000,1.030
1.76,302,122.00,1173.00,268,176.640.405.654.907.000.000,176.641.597.747.802.000.000,1.020
2.00,304,122.00,1346.00,267,199.728.002.548.217.000.000,199.728.794.097.900.000.000,1.030
2.23,304,122.00,1519.00,267,222.815.990.447.998.000.000,222.816.801.071.166.000.000,1.030
2.46,304,122.00,1692.00,268,245.903.992.652.893.000.000,245.904.803.276.062.000.000,1.030
2.69,306,122.00,1866.00,268,268.991.994.857.788.000.000,268.992.805.480.957.000.000,1.030
2.92,308,122.00,2041.00,268,292.080.001.831.054.000.000,292.080.802.917.480.000.000,1.020
3.15,308,122.00,2216.00,268,315.170.001.983.642.000.000,315.171.194.076.538.000.000,1.040
3.38,306,122.00,2390.00,267,338.256.001.472.473.000.000,338.256.788.253.784.000.000,1.020
3.61,306,123.00,2564.00,266,361.344.003.677.368.000.000,361.344.790.458.679.000.000,1.040
3.84,304,122.00,2737.00,267,384.432.010.650.634.000.000,384.432.792.663.574.000.000,1.020
04.07,306,122.00,2911.00,268,407.520.008.087.158.000.000,407.520.818.710.327.000.000,1.030
4.30,306,122.00,3085.00,268,430.608.797.073.364.000.000,430.609.607.696.533.000.000,1.030
4.54,308,122.00,3260.00,267,453.698.015.213.012.000.000,453.699.207.305.908.000.000,1.030
4.77,306,122.00,3434.00,267,476.783.990.859.985.000.000,476.784.801.483.154.000.000,1.030
5.00,306,122.00,3608.00,268,499.872.016.906.738.000.000,499.872.779.846.191.000.000,1.020
5.23,306,122.00,3782.00,268,522.960.376.739.501.000.000,522.961.616.516.113.000.000,1.020
5.46,306,122.00,3956.00,268,546.048.021.316.528.000.000,546.048.784.255.981.000.000,1.030
5.69,306,122.00,4130.00,268,569.135.999.679.565.000.000,569.136.810.302.734.000.000,1.030
5.92,308,122.00,4305.00,267,592.223.978.042.602.000.000,592.224.788.665.771.000.000,1.030
