Tempo: 2.2s	Setpoint: -119 RPM		Vel.: 0 RPM	erro: -119.00 RPM		Controle: 0.00	AcaoP: -71.40	AcaoI: -11.90
Tempo: 2.3s	Setpoint: -143 RPM		Vel.: -5 RPM	erro: -137.72 RPM		Controle: -83.30	AcaoP: -82.63	AcaoI: -25.67
Tempo: 2.4s	Setpoint: -160 RPM		Vel.: -28 RPM	erro: -131.86 RPM		Controle: -108.31	AcaoP: -79.12	AcaoI: -38.86
Tempo: 2.5s	Setpoint: -160 RPM		Vel.: -60 RPM	erro: -100.21 RPM		Controle: -117.98	AcaoP: -60.13	AcaoI: -48.88
Tempo: 2.6s	Setpoint: -160 RPM		Vel.: -83 RPM	erro: -77.35 RPM		Controle: -109.01	AcaoP: -46.41	AcaoI: -56.62
Tempo: 2.7s	Setpoint: -160 RPM		Vel.: -100 RPM	erro: -59.77 RPM		Controle: -103.03	AcaoP: -35.86	AcaoI: -62.59
Tempo: 2.8s	Setpoint: -160 RPM		Vel.: -114 RPM	erro: -45.70 RPM		Controle: -98.45	AcaoP: -27.42	AcaoI: -67.16
Tempo: 2.9s	Setpoint: -160 RPM		Vel.: -113 RPM	erro: -47.46 RPM		Controle: -94.58	AcaoP: -28.47	AcaoI: -71.91
Tempo: 3.1s	Setpoint: -160 RPM		Vel.: -113 RPM	erro: -47.46 RPM		Controle: -100.38	AcaoP: -28.47	AcaoI: -76.65
Tempo: 3.2s	Setpoint: -160 RPM		Vel.: -113 RPM	erro: -47.46 RPM		Controle: -105.13	AcaoP: -28.47	AcaoI: -81.40
Tempo: 3.3s	Setpoint: -160 RPM		Vel.: -116 RPM	erro: -43.94 RPM		Controle: -109.87	AcaoP: -26.36	AcaoI: -85.79
Tempo: 3.4s	Setpoint: -160 RPM		Vel.: -120 RPM	erro: -40.42 RPM		Controle: -112.16	AcaoP: -24.25	AcaoI: -89.83
Tempo: 3.5s	Setpoint: -160 RPM		Vel.: -127 RPM	erro: -33.39 RPM		Controle: -114.09	AcaoP: -20.03	AcaoI: -93.17
Tempo: 3.6s	Setpoint: -160 RPM		Vel.: -128 RPM	erro: -31.63 RPM		Controle: -113.21	AcaoP: -18.98	AcaoI: -96.34
Tempo: 3.8s	Setpoint: -160 RPM		Vel.: -132 RPM	erro: -28.11 RPM		Controle: -115.31	AcaoP: -16.87	AcaoI: -99.15
Tempo: 3.9s	Setpoint: -160 RPM		Vel.: -132 RPM	erro: -28.11 RPM		Controle: -116.01	AcaoP: -16.87	AcaoI: -101.96
Tempo: 4.0s	Setpoint: -160 RPM		Vel.: -135 RPM	erro: -24.60 RPM		Controle: -118.83	AcaoP: -14.76	AcaoI: -104.42
Tempo: 4.1s	Setpoint: -160 RPM		Vel.: -137 RPM	erro: -22.84 RPM		Controle: -119.18	AcaoP: -13.70	AcaoI: -106.70
Tempo: 4.2s	Setpoint: -160 RPM		Vel.: -139 RPM	erro: -21.08 RPM		Controle: -120.40	AcaoP: -12.65	AcaoI: -108.81
Tempo: 4.3s	Setpoint: -160 RPM		Vel.: -141 RPM	erro: -19.32 RPM		Controle: -121.46	AcaoP: -11.59	AcaoI: -110.74
Tempo: 4.5s	Setpoint: -160 RPM		Vel.: -141 RPM	erro: -19.32 RPM		Controle: -122.33	AcaoP: -11.59	AcaoI: -112.67
Tempo: 4.6s	Setpoint: -160 RPM		Vel.: -144 RPM	erro: -15.80 RPM		Controle: -124.27	AcaoP: -9.48	AcaoI: -114.25
Tempo: 4.7s	Setpoint: -160 RPM		Vel.: -142 RPM	erro: -17.56 RPM		Controle: -123.74	AcaoP: -10.54	AcaoI: -116.01
Tempo: 4.8s	Setpoint: -160 RPM		Vel.: -146 RPM	erro: -14.04 RPM		Controle: -126.55	AcaoP: -8.43	AcaoI: -117.41
Tempo: 4.9s	Setpoint: -160 RPM		Vel.: -146 RPM	erro: -14.04 RPM		Controle: -125.84	AcaoP: -8.43	AcaoI: -118.82
Tempo: 5.0s	Setpoint: -160 RPM		Vel.: -146 RPM	erro: -14.04 RPM		Controle: -127.25	AcaoP: -8.43	AcaoI: -120.22
Tempo: 5.2s	Setpoint: -160 RPM		Vel.: -148 RPM	erro: -12.29 RPM		Controle: -128.65	AcaoP: -7.37	AcaoI: -121.45
Tempo: 5.3s	Setpoint: -160 RPM		Vel.: -149 RPM	erro: -10.53 RPM		Controle: -128.82	AcaoP: -6.32	AcaoI: -122.50
Tempo: 5.4s	Setpoint: -160 RPM		Vel.: -148 RPM	erro: -12.29 RPM		Controle: -128.82	AcaoP: -7.37	AcaoI: -123.73
Tempo: 5.5s	Setpoint: -160 RPM		Vel.: -149 RPM	erro: -10.53 RPM		Controle: -131.11	AcaoP: -6.32	AcaoI: -124.79
Tempo: 5.6s	Setpoint: -160 RPM		Vel.: -151 RPM	erro: -8.77 RPM		Controle: -131.10	AcaoP: -5.26	AcaoI: -125.66
Tempo: 5.7s	Setpoint: -160 RPM		Vel.: -151 RPM	erro: -8.77 RPM		Controle: -130.92	AcaoP: -5.26	AcaoI: -126.54
Tempo: 5.9s	Setpoint: -160 RPM		Vel.: -151 RPM	erro: -8.77 RPM		Controle: -131.80	AcaoP: -5.26	AcaoI: -127.42
Tempo: 6.0s	Setpoint: -160 RPM		Vel.: -151 RPM	erro: -8.77 RPM		Controle: -132.68	AcaoP: -5.26	AcaoI: -128.29
Tempo: 6.1s	Setpoint: -160 RPM		Vel.: -151 RPM	erro: -8.77 RPM		Controle: -133.56	AcaoP: -5.26	AcaoI: -129.17
Tempo: 6.2s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -134.43	AcaoP: -4.21	AcaoI: -129.87
Tempo: 6.3s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -134.08	AcaoP: -4.21	AcaoI: -130.57
Tempo: 6.4s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -134.78	AcaoP: -4.21	AcaoI: -131.27
Tempo: 6.5s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -135.48	AcaoP: -4.21	AcaoI: -131.97
Tempo: 6.7s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -136.18	AcaoP: -3.15	AcaoI: -132.50
Tempo: 6.8s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -135.65	AcaoP: -2.10	AcaoI: -132.85
Tempo: 6.9s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -134.95	AcaoP: -3.15	AcaoI: -133.37
Tempo: 7.0s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -136.53	AcaoP: -2.10	AcaoI: -133.72
Tempo: 7.1s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -135.82	AcaoP: -2.10	AcaoI: -134.07
Tempo: 7.2s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -136.17	AcaoP: -2.10	AcaoI: -134.42
Tempo: 7.4s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -136.52	AcaoP: -1.04	AcaoI: -134.60
Tempo: 7.5s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -135.64	AcaoP: -2.10	AcaoI: -134.95
Tempo: 7.6s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -137.04	AcaoP: -1.04	AcaoI: -135.12
Tempo: 7.7s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -136.16	AcaoP: -2.10	AcaoI: -135.47
Tempo: 7.8s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -137.56	AcaoP: -2.10	AcaoI: -135.82
Tempo: 7.9s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -137.91	AcaoP: -1.04	AcaoI: -135.99
Tempo: 8.0s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -137.03	AcaoP: -2.10	AcaoI: -136.34
Tempo: 8.2s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -138.44	AcaoP: -1.04	AcaoI: -136.51
Tempo: 8.3s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -137.56	AcaoP: -1.04	AcaoI: -136.69
Tempo: 8.4s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -137.73	AcaoP: -1.04	AcaoI: -136.86
Tempo: 8.5s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -137.90	AcaoP: -2.10	AcaoI: -137.21
Tempo: 8.6s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -139.31	AcaoP: -2.10	AcaoI: -137.56
Tempo: 8.7s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.66	AcaoP: -1.04	AcaoI: -137.73
Tempo: 8.9s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -138.77	AcaoP: -1.04	AcaoI: -137.91
Tempo: 9.0s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -138.95	AcaoP: -1.04	AcaoI: -138.08
Tempo: 9.1s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -139.12	AcaoP: 0.01	AcaoI: -138.08
Tempo: 9.2s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -138.06	AcaoP: -2.10	AcaoI: -138.43
Tempo: 9.3s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -140.52	AcaoP: -1.04	AcaoI: -138.60
Tempo: 9.4s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -139.64	AcaoP: 0.01	AcaoI: -138.60
Tempo: 9.5s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -138.58	AcaoP: -2.10	AcaoI: -138.95
Tempo: 9.7s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -141.04	AcaoP: 0.01	AcaoI: -138.95
Tempo: 9.8s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -138.93	AcaoP: -2.10	AcaoI: -139.29
Tempo: 9.9s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -141.39	AcaoP: 0.01	AcaoI: -139.29
Tempo: 10.0s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.28	AcaoP: -1.04	AcaoI: -139.47
Tempo: 10.1s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -140.51	AcaoP: 1.07	AcaoI: -139.29
Tempo: 10.2s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -138.22	AcaoP: -1.04	AcaoI: -139.46
Tempo: 10.3s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -140.50	AcaoP: 0.01	AcaoI: -139.46
Tempo: 10.5s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.44	AcaoP: -1.04	AcaoI: -139.63
Tempo: 10.6s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -140.67	AcaoP: 0.01	AcaoI: -139.63
Tempo: 10.7s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.62	AcaoP: -1.04	AcaoI: -139.80
Tempo: 10.8s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -140.84	AcaoP: 0.01	AcaoI: -139.80
Tempo: 10.9s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.79	AcaoP: -1.04	AcaoI: -139.97
Tempo: 11.0s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -141.02	AcaoP: 0.01	AcaoI: -139.97
Tempo: 11.2s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.96	AcaoP: -1.04	AcaoI: -140.15
Tempo: 11.3s	Setpoint: -160 RPM		Vel.: -164 RPM	erro: 3.54 RPM		Controle: -141.19	AcaoP: 2.12	AcaoI: -139.79
Tempo: 11.4s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -137.67	AcaoP: -1.04	AcaoI: -139.97
Tempo: 11.5s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -141.01	AcaoP: 1.07	AcaoI: -139.79
Tempo: 11.6s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.72	AcaoP: 0.01	AcaoI: -139.78
Tempo: 11.7s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -139.77	AcaoP: -1.04	AcaoI: -139.96
Tempo: 11.8s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -141.00	AcaoP: 1.07	AcaoI: -139.78
Tempo: 12.0s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.71	AcaoP: 0.01	AcaoI: -139.78
Tempo: 12.1s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -139.76	AcaoP: 0.01	AcaoI: -139.78
