Tempo: 0.0s,Setpoint: -160 RPM,,Vel.: 0 RPM,erro: -160.00 RPM,,Controle: 0.00,AcaoP: 0,AcaoI: 0.00
Tempo: 2.2s,Setpoint: 159 RPM,,Vel.: 0 RPM,erro: 159.00 RPM,,Controle: 0.00,AcaoP: 159.00,AcaoI: 0.00
Tempo: 2.3s,Setpoint: 158 RPM,,Vel.: 19 RPM,erro: 138.66 RPM,,Controle: 159.00,AcaoP: 138.66,AcaoI: 0.00
Tempo: 2.4s,Setpoint: 160 RPM,,Vel.: 84 RPM,erro: 75.59 RPM,,Controle: 138.66,AcaoP: 75.59,AcaoI: 0.00
Tempo: 2.5s,Setpoint: 159 RPM,,Vel.: 109 RPM,erro: 49.97 RPM,,Controle: 75.59,AcaoP: 49.97,AcaoI: 0.00
Tempo: 2.6s,Setpoint: 159 RPM,,Vel.: 102 RPM,erro: 57.01 RPM,,Controle: 49.97,AcaoP: 57.01,AcaoI: 0.00
Tempo: 2.7s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 57.01,AcaoP: 74.59,AcaoI: 0.00
Tempo: 2.8s,Setpoint: 159 RPM,,Vel.: 76 RPM,erro: 83.38 RPM,,Controle: 74.59,AcaoP: 83.38,AcaoI: 0.00
Tempo: 2.9s,Setpoint: 159 RPM,,Vel.: 74 RPM,erro: 85.14 RPM,,Controle: 83.38,AcaoP: 85.14,AcaoI: 0.00
Tempo: 3.0s,Setpoint: 159 RPM,,Vel.: 79 RPM,erro: 79.87 RPM,,Controle: 85.14,AcaoP: 79.87,AcaoI: 0.00
Tempo: 3.1s,Setpoint: 159 RPM,,Vel.: 88 RPM,erro: 71.08 RPM,,Controle: 79.87,AcaoP: 71.08,AcaoI: 0.00
Tempo: 3.2s,Setpoint: 159 RPM,,Vel.: 93 RPM,erro: 65.80 RPM,,Controle: 71.08,AcaoP: 65.80,AcaoI: 0.00
Tempo: 3.3s,Setpoint: 159 RPM,,Vel.: 90 RPM,erro: 69.32 RPM,,Controle: 65.80,AcaoP: 69.32,AcaoI: 0.00
Tempo: 3.4s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 69.32,AcaoP: 72.83,AcaoI: 0.00
Tempo: 3.5s,Setpoint: 159 RPM,,Vel.: 83 RPM,erro: 76.35 RPM,,Controle: 72.83,AcaoP: 76.35,AcaoI: 0.00
Tempo: 3.6s,Setpoint: 159 RPM,,Vel.: 83 RPM,erro: 76.35 RPM,,Controle: 76.35,AcaoP: 76.35,AcaoI: 0.00
Tempo: 3.7s,Setpoint: 159 RPM,,Vel.: 83 RPM,erro: 76.35 RPM,,Controle: 76.35,AcaoP: 76.35,AcaoI: 0.00
Tempo: 3.9s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 76.35,AcaoP: 72.83,AcaoI: 0.00
Tempo: 4.0s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 4.1s,Setpoint: 159 RPM,,Vel.: 88 RPM,erro: 71.08 RPM,,Controle: 72.83,AcaoP: 71.08,AcaoI: 0.00
Tempo: 4.2s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 71.08,AcaoP: 74.59,AcaoI: 0.00
Tempo: 4.3s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 74.59,AcaoP: 74.59,AcaoI: 0.00
Tempo: 4.4s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 4.5s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 4.6s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 4.7s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 4.8s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 4.9s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
