Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI
0.0,-160,0,-160.00,0.00,0,0.00
2.2,-160,0,-160.00,0.00,-240.00,0.00
2.3,-160,-30,-130.11,-240.00,-195.16,0.00
2.4,-160,-120,-40.42,-195.16,-60.63,0.00
2.5,-160,-141,-19.32,-60.63,-28.98,0.00
2.6,-160,-125,-35.15,-28.98,-52.72,0.00
2.7,-160,-100,-59.77,-52.72,-89.65,0.00
2.8,-160,-91,-68.56,-89.65,-102.84,0.00
2.9,-160,-90,-70.32,-102.84,-105.47,0.00
3.0,-160,-106,-54.49,-105.47,-81.74,0.00
3.2,-160,-118,-42.18,-81.74,-63.27,0.00
3.3,-160,-116,-43.94,-63.27,-65.91,0.00
3.4,-160,-107,-52.73,-65.91,-79.10,0.00
3.5,-160,-97,-63.28,-79.10,-94.92,0.00
3.6,-160,-93,-66.80,-94.92,-100.20,0.00
3.7,-160,-100,-59.77,-100.20,-89.65,0.00
3.8,-160,-113,-47.46,-89.65,-71.18,0.00
3.9,-160,-114,-45.70,-71.18,-68.55,0.00
4.1,-160,-109,-50.97,-68.55,-76.46,0.00
4.2,-160,-102,-58.01,-76.46,-87.01,0.00
4.3,-160,-97,-63.28,-87.01,-94.92,0.00
4.4,-160,-100,-59.77,-94.92,-89.65,0.00
4.5,-160,-107,-52.73,-89.65,-79.10,0.00
4.6,-160,-113,-47.46,-79.10,-71.18,0.00
4.7,-160,-111,-49.21,-71.18,-73.82,0.00
4.9,-160,-106,-54.49,-73.82,-81.74,0.00
5.0,-160,-98,-61.52,-81.74,-92.29,0.00
5.1,-160,-98,-61.52,-92.29,-92.29,0.00
5.2,-160,-104,-56.25,-92.29,-84.37,0.00
5.3,-160,-111,-49.21,-84.37,-73.82,0.00
5.4,-160,-111,-49.21,-73.82,-73.82,0.00
5.5,-160,-107,-52.73,-73.82,-79.10,0.00
5.6,-160,-100,-59.77,-79.10,-89.65,0.00
5.8,-160,-102,-58.01,-89.65,-87.01,0.00
5.9,-160,-104,-56.25,-87.01,-84.37,0.00
6.0,-160,-107,-52.73,-84.37,-79.10,0.00
6.1,-160,-109,-50.97,-79.10,-76.46,0.00
6.2,-160,-107,-52.73,-76.46,-79.10,0.00
6.3,-160,-106,-54.49,-79.10,-81.74,0.00
6.4,-160,-102,-58.01,-81.74,-87.01,0.00
6.6,-160,-104,-56.25,-87.01,-84.37,0.00
6.7,-160,-106,-54.49,-84.37,-81.74,0.00
6.8,-160,-107,-52.73,-81.74,-79.10,0.00
6.9,-160,-107,-52.73,-79.10,-79.10,0.00
7.0,-160,-106,-54.49,-79.10,-81.74,0.00
7.1,-160,-104,-56.25,-81.74,-84.37,0.00
7.2,-160,-102,-58.01,-84.37,-87.01,0.00
7.3,-160,-106,-54.49,-87.01,-81.74,0.00
7.5,-160,-107,-52.73,-81.74,-79.10,0.00
7.6,-160,-109,-50.97,-79.10,-76.46,0.00
7.7,-160,-106,-54.49,-76.46,-81.74,0.00
7.8,-160,-104,-56.25,-81.74,-84.37,0.00
7.9,-160,-104,-56.25,-84.37,-84.37,0.00
8.0,-160,-104,-56.25,-84.37,-84.37,0.00
8.1,-160,-107,-52.73,-84.37,-79.10,0.00
8.3,-160,-107,-52.73,-79.10,-79.10,0.00
8.4,-160,-107,-52.73,-79.10,-79.10,0.00
8.5,-160,-106,-54.49,-79.10,-81.74,0.00
8.6,-160,-104,-56.25,-81.74,-84.37,0.00
8.7,-160,-104,-56.25,-84.37,-84.37,0.00
8.8,-160,-106,-54.49,-84.37,-81.74,0.00
8.9,-160,-107,-52.73,-81.74,-79.10,0.00
9.0,-160,-106,-54.49,-79.10,-81.74,0.00
9.2,-160,-107,-52.73,-81.74,-79.10,0.00
9.3,-160,-106,-54.49,-79.10,-81.74,0.00
9.4,-160,-106,-54.49,-81.74,-81.74,0.00
9.5,-160,-104,-56.25,-81.74,-84.37,0.00
9.6,-160,-107,-52.73,-84.37,-79.10,0.00
9.7,-160,-106,-54.49,-79.10,-81.74,0.00
9.8,-160,-107,-52.73,-81.74,-79.10,0.00
10.0,-160,-107,-52.73,-79.10,-79.10,0.00
10.1,-160,-107,-52.73,-79.10,-79.10,0.00
10.2,-160,-106,-54.49,-79.10,-81.74,0.00
10.3,-160,-104,-56.25,-81.74,-84.37,0.00
10.4,-160,-106,-54.49,-84.37,-81.74,0.00
10.5,-160,-106,-54.49,-81.74,-81.74,0.00
10.6,-160,-107,-52.73,-81.74,-79.10,0.00
10.8,-160,-107,-52.73,-79.10,-79.10,0.00
10.9,-160,-107,-52.73,-79.10,-79.10,0.00
11.0,-160,-106,-54.49,-79.10,-81.74,0.00
11.1,-160,-104,-56.25,-81.74,-84.37,0.00
11.2,-160,-104,-56.25,-84.37,-84.37,0.00
11.3,-160,-104,-56.25,-84.37,-84.37,0.00
11.4,-160,-107,-52.73,-84.37,-79.10,0.00
11.6,-160,-109,-50.97,-79.10,-76.46,0.00
11.7,-160,-109,-50.97,-76.46,-76.46,0.00
11.8,-160,-106,-54.49,-76.46,-81.74,0.00
11.9,-160,-104,-56.25,-81.74,-84.37,0.00
12.0,-160,-102,-58.01,-84.37,-87.01,0.00
12.1,-160,-106,-54.49,-87.01,-81.74,0.00
12.2,-160,-107,-52.73,-81.74,-79.10,0.00
12.4,-160,-111,-49.21,-79.10,-73.82,0.00
12.5,-160,-107,-52.73,-73.82,-79.10,0.00
12.6,-160,-104,-56.25,-79.10,-84.37,0.00
12.7,-160,-104,-56.25,-84.37,-84.37,0.00
12.8,-160,-106,-54.49,-84.37,-81.74,0.00
12.9,-160,-107,-52.73,-81.74,-79.10,0.00
13.0,-160,-109,-50.97,-79.10,-76.46,0.00
13.2,-160,-107,-52.73,-76.46,-79.10,0.00
13.3,-160,-107,-52.73,-79.10,-79.10,0.00
13.4,-160,-106,-54.49,-79.10,-81.74,0.00
13.5,-160,-104,-56.25,-81.74,-84.37,0.00
13.6,-160,-106,-54.49,-84.37,-81.74,0.00
13.7,-160,-107,-52.73,-81.74,-79.10,0.00
13.8,-160,-109,-50.97,-79.10,-76.46,0.00
14.0,-160,-107,-52.73,-76.46,-79.10,0.00
14.1,-160,-106,-54.49,-79.10,-81.74,0.00
14.2,-160,-106,-54.49,-81.74,-81.74,0.00
14.3,-160,-104,-56.25,-81.74,-84.37,0.00
14.4,-160,-107,-52.73,-84.37,-79.10,0.00
14.5,-160,-107,-52.73,-79.10,-79.10,0.00
14.6,-160,-109,-50.97,-79.10,-76.46,0.00
14.8,-160,-107,-52.73,-76.46,-79.10,0.00
14.9,-160,-106,-54.49,-79.10,-81.74,0.00
15.0,-160,-104,-56.25,-81.74,-84.37,0.00
15.1,-160,-106,-54.49,-84.37,-81.74,0.00
15.2,-160,-107,-52.73,-81.74,-79.10,0.00
15.3,-160,-107,-52.73,-79.10,-79.10,0.00
15.4,-160,-109,-50.97,-79.10,-76.46,0.00
15.6,-160,-107,-52.73,-76.46,-79.10,0.00
15.7,-160,-106,-54.49,-79.10,-81.74,0.00
15.8,-160,-104,-56.25,-81.74,-84.37,0.00
15.9,-160,-102,-58.01,-84.37,-87.01,0.00
16.0,-160,-106,-54.49,-87.01,-81.74,0.00
16.1,-160,-107,-52.73,-81.74,-79.10,0.00
16.2,-160,-109,-50.97,-79.10,-76.46,0.00
16.4,-160,-107,-52.73,-76.46,-79.10,0.00
16.5,-160,-104,-56.25,-79.10,-84.37,0.00
16.6,-160,-104,-56.25,-84.37,-84.37,0.00
16.7,-160,-106,-54.49,-84.37,-81.74,0.00
16.8,-160,-109,-50.97,-81.74,-76.46,0.00
16.9,-160,-107,-52.73,-76.46,-79.10,0.00
17.0,-160,-107,-52.73,-79.10,-79.10,0.00
17.2,-160,-106,-54.49,-79.10,-81.74,0.00
17.3,-160,-106,-54.49,-81.74,-81.74,0.00
17.4,-160,-106,-54.49,-81.74,-81.74,0.00
17.5,-160,-107,-52.73,-81.74,-79.10,0.00
17.6,-160,-107,-52.73,-79.10,-79.10,0.00
17.7,-160,-106,-54.49,-79.10,-81.74,0.00
17.8,-160,-106,-54.49,-81.74,-81.74,0.00
18.0,-160,-106,-54.49,-81.74,-81.74,0.00
18.1,-160,-107,-52.73,-81.74,-79.10,0.00
18.2,-160,-106,-54.49,-79.10,-81.74,0.00
18.3,-160,-106,-54.49,-81.74,-81.74,0.00
18.4,-160,-106,-54.49,-81.74,-81.74,0.00
18.5,-160,-106,-54.49,-81.74,-81.74,0.00
18.6,-160,-106,-54.49,-81.74,-81.74,0.00
18.8,-160,-106,-54.49,-81.74,-81.74,0.00
18.9,-160,-106,-54.49,-81.74,-81.74,0.00
19.0,-160,-106,-54.49,-81.74,-81.74,0.00
19.1,-160,-106,-54.49,-81.74,-81.74,0.00
19.2,-160,-107,-52.73,-81.74,-79.10,0.00
19.3,-160,-106,-54.49,-79.10,-81.74,0.00
19.4,-160,-107,-52.73,-81.74,-79.10,0.00
19.6,-160,-106,-54.49,-79.10,-81.74,0.00
19.7,-160,-104,-56.25,-81.74,-84.37,0.00
19.8,-160,-106,-54.49,-84.37,-81.74,0.00
19.9,-160,-107,-52.73,-81.74,-79.10,0.00
20.0,-160,-107,-52.73,-79.10,-79.10,0.00
20.1,-160,-106,-54.49,-79.10,-81.74,0.00
20.2,-160,-104,-56.25,-81.74,-84.37,0.00
20.4,-160,-106,-54.49,-84.37,-81.74,0.00
20.5,-160,-107,-52.73,-81.74,-79.10,0.00
20.6,-160,-107,-52.73,-79.10,-79.10,0.00
20.7,-160,-107,-52.73,-79.10,-79.10,0.00
20.8,-160,-106,-54.49,-79.10,-81.74,0.00
20.9,-160,-106,-54.49,-81.74,-81.74,0.00
21.0,-160,-106,-54.49,-81.74,-81.74,0.00
21.2,-160,-107,-52.73,-81.74,-79.10,0.00
21.3,-160,-106,-54.49,-79.10,-81.74,0.00
21.4,-160,-106,-54.49,-81.74,-81.74,0.00
21.5,-160,-107,-52.73,-81.74,-79.10,0.00
21.6,-160,-106,-54.49,-79.10,-81.74,0.00
21.7,-160,-107,-52.73,-81.74,-79.10,0.00
21.9,-160,-106,-54.49,-79.10,-81.74,0.00
22.0,-160,-106,-54.49,-81.74,-81.74,0.00
22.1,-160,-107,-52.73,-81.74,-79.10,0.00
22.2,-160,-106,-54.49,-79.10,-81.74,0.00
22.3,-160,-107,-52.73,-81.74,-79.10,0.00
22.4,-160,-107,-52.73,-79.10,-79.10,0.00
22.5,-160,-106,-54.49,-79.10,-81.74,0.00
22.7,-160,-106,-54.49,-81.74,-81.74,0.00
22.8,-160,-106,-54.49,-81.74,-81.74,0.00
22.9,-160,-107,-52.73,-81.74,-79.10,0.00
23.0,-160,-107,-52.73,-79.10,-79.10,0.00
23.1,-160,-106,-54.49,-79.10,-81.74,0.00
23.2,-160,-106,-54.49,-81.74,-81.74,0.00
23.3,-160,-106,-54.49,-81.74,-81.74,0.00
23.5,-160,-107,-52.73,-81.74,-79.10,0.00
23.6,-160,-106,-54.49,-79.10,-81.74,0.00
23.7,-160,-107,-52.73,-81.74,-79.10,0.00
23.8,-160,-106,-54.49,-79.10,-81.74,0.00
23.9,-160,-104,-56.25,-81.74,-84.37,0.00
24.0,-160,-106,-54.49,-84.37,-81.74,0.00
24.1,-160,-104,-56.25,-81.74,-84.37,0.00
24.3,-160,-107,-52.73,-84.37,-79.10,0.00
24.4,-160,-106,-54.49,-79.10,-81.74,0.00
24.5,-160,-107,-52.73,-81.74,-79.10,0.00
24.6,-160,-106,-54.49,-79.10,-81.74,0.00
24.7,-160,-106,-54.49,-81.74,-81.74,0.00
24.8,-160,-106,-54.49,-81.74,-81.74,0.00
24.9,-160,-107,-52.73,-81.74,-79.10,0.00
25.1,-160,-107,-52.73,-79.10,-79.10,0.00
25.2,-160,-106,-54.49,-79.10,-81.74,0.00
25.3,-160,-106,-54.49,-81.74,-81.74,0.00
25.4,-160,-106,-54.49,-81.74,-81.74,0.00
25.5,-160,-107,-52.73,-81.74,-79.10,0.00
25.6,-160,-107,-52.73,-79.10,-79.10,0.00
25.7,-160,-106,-54.49,-79.10,-81.74,0.00
25.9,-160,-106,-54.49,-81.74,-81.74,0.00
26.0,-160,-106,-54.49,-81.74,-81.74,0.00
26.1,-160,-107,-52.73,-81.74,-79.10,0.00
26.2,-160,-106,-54.49,-79.10,-81.74,0.00
26.3,-160,-107,-52.73,-81.74,-79.10,0.00
26.4,-160,-104,-56.25,-79.10,-84.37,0.00
26.5,-160,-106,-54.49,-84.37,-81.74,0.00
26.7,-160,-106,-54.49,-81.74,-81.74,0.00
26.8,-160,-107,-52.73,-81.74,-79.10,0.00
26.9,-160,-107,-52.73,-79.10,-79.10,0.00
27.0,-160,-106,-54.49,-79.10,-81.74,0.00
27.1,-160,-104,-56.25,-81.74,-84.37,0.00
27.2,-160,-106,-54.49,-84.37,-81.74,0.00
27.3,-160,-106,-54.49,-81.74,-81.74,0.00
27.5,-160,-107,-52.73,-81.74,-79.10,0.00
27.6,-160,-107,-52.73,-79.10,-79.10,0.00
27.7,-160,-107,-52.73,-79.10,-79.10,0.00
27.8,-160,-106,-54.49,-79.10,-81.74,0.00
27.9,-160,-106,-54.49,-81.74,-81.74,0.00
28.0,-160,-104,-56.25,-81.74,-84.37,0.00
28.1,-160,-106,-54.49,-84.37,-81.74,0.00
28.3,-160,-107,-52.73,-81.74,-79.10,0.00
28.4,-160,-107,-52.73,-79.10,-79.10,0.00
28.5,-160,-107,-52.73,-79.10,-79.10,0.00
28.6,-160,-106,-54.49,-79.10,-81.74,0.00
28.7,-160,-104,-56.25,-81.74,-84.37,0.00
28.8,-160,-104,-56.25,-84.37,-84.37,0.00
28.9,-160,-106,-54.49,-84.37,-81.74,0.00
29.1,-160,-107,-52.73,-81.74,-79.10,0.00
29.2,-160,-109,-50.97,-79.10,-76.46,0.00
29.3,-160,-107,-52.73,-76.46,-79.10,0.00
29.4,-160,-106,-54.49,-79.10,-81.74,0.00
29.5,-160,-104,-56.25,-81.74,-84.37,0.00
29.6,-160,-106,-54.49,-84.37,-81.74,0.00
29.7,-160,-107,-52.73,-81.74,-79.10,0.00
29.9,-160,-107,-52.73,-79.10,-79.10,0.00
30.0,-160,-106,-54.49,-79.10,-81.74,0.00
30.1,-160,-106,-54.49,-81.74,-81.74,0.00
30.2,-160,-106,-54.49,-81.74,-81.74,0.00
30.3,-160,-106,-54.49,-81.74,-81.74,0.00
30.4,-160,-106,-54.49,-81.74,-81.74,0.00
30.5,-160,-106,-54.49,-81.74,-81.74,0.00
30.7,-160,-106,-54.49,-81.74,-81.74,0.00
30.8,-160,-106,-54.49,-81.74,-81.74,0.00
30.9,-160,-104,-56.25,-81.74,-84.37,0.00
31.0,-160,-104,-56.25,-84.37,-84.37,0.00
31.1,-160,-106,-54.49,-84.37,-81.74,0.00
31.2,-160,-107,-52.73,-81.74,-79.10,0.00
31.3,-160,-109,-50.97,-79.10,-76.46,0.00
31.5,-160,-106,-54.49,-76.46,-81.74,0.00
31.6,-160,-104,-56.25,-81.74,-84.37,0.00
31.7,-160,-104,-56.25,-84.37,-84.37,0.00
31.8,-160,-106,-54.49,-84.37,-81.74,0.00
31.9,-160,-107,-52.73,-81.74,-79.10,0.00
32.0,-160,-107,-52.73,-79.10,-79.10,0.00
32.1,-160,-106,-54.49,-79.10,-81.74,0.00
32.3,-160,-104,-56.25,-81.74,-84.37,0.00
32.4,-160,-104,-56.25,-84.37,-84.37,0.00
32.5,-160,-106,-54.49,-84.37,-81.74,0.00
32.6,-160,-107,-52.73,-81.74,-79.10,0.00
32.7,-160,-106,-54.49,-79.10,-81.74,0.00
32.8,-160,-106,-54.49,-81.74,-81.74,0.00
32.9,-160,-106,-54.49,-81.74,-81.74,0.00
33.1,-160,-106,-54.49,-81.74,-81.74,0.00
33.2,-160,-106,-54.49,-81.74,-81.74,0.00
33.3,-160,-107,-52.73,-81.74,-79.10,0.00
33.4,-160,-106,-54.49,-79.10,-81.74,0.00
33.5,-160,-106,-54.49,-81.74,-81.74,0.00
33.6,-160,-107,-52.73,-81.74,-79.10,0.00
33.7,-160,-106,-54.49,-79.10,-81.74,0.00
33.9,-160,-107,-52.73,-81.74,-79.10,0.00
34.0,-160,-106,-54.49,-79.10,-81.74,0.00
34.1,-160,-106,-54.49,-81.74,-81.74,0.00
34.2,-160,-106,-54.49,-81.74,-81.74,0.00
34.3,-160,-107,-52.73,-81.74,-79.10,0.00
34.4,-160,-106,-54.49,-79.10,-81.74,0.00
34.5,-160,-104,-56.25,-81.74,-84.37,0.00
34.7,-160,-104,-56.25,-84.37,-84.37,0.00
34.8,-160,-106,-54.49,-84.37,-81.74,0.00
34.9,-160,-107,-52.73,-81.74,-79.10,0.00
35.0,-160,-106,-54.49,-79.10,-81.74,0.00
35.1,-160,-106,-54.49,-81.74,-81.74,0.00
35.2,-160,-104,-56.25,-81.74,-84.37,0.00
35.3,-160,-106,-54.49,-84.37,-81.74,0.00
35.5,-160,-106,-54.49,-81.74,-81.74,0.00
35.6,-160,-107,-52.73,-81.74,-79.10,0.00
35.7,-160,-107,-52.73,-79.10,-79.10,0.00
35.8,-160,-106,-54.49,-79.10,-81.74,0.00
35.9,-160,-106,-54.49,-81.74,-81.74,0.00
36.0,-160,-106,-54.49,-81.74,-81.74,0.00
36.2,-160,-106,-54.49,-81.74,-81.74,0.00
36.3,-160,-107,-52.73,-81.74,-79.10,0.00
36.4,-160,-106,-54.49,-79.10,-81.74,0.00
36.5,-160,-106,-54.49,-81.74,-81.74,0.00
36.6,-160,-106,-54.49,-81.74,-81.74,0.00
36.7,-160,-106,-54.49,-81.74,-81.74,0.00
36.8,-160,-104,-56.25,-81.74,-84.37,0.00
37.0,-160,-104,-56.25,-84.37,-84.37,0.00
37.1,-160,-107,-52.73,-84.37,-79.10,0.00
37.2,-160,-107,-52.73,-79.10,-79.10,0.00
37.3,-160,-107,-52.73,-79.10,-79.10,0.00
37.4,-160,-106,-54.49,-79.10,-81.74,0.00
37.5,-160,-106,-54.49,-81.74,-81.74,0.00
37.6,-160,-104,-56.25,-81.74,-84.37,0.00
37.8,-160,-106,-54.49,-84.37,-81.74,0.00
37.9,-160,-107,-52.73,-81.74,-79.10,0.00
38.0,-160,-107,-52.73,-79.10,-79.10,0.00
38.1,-160,-107,-52.73,-79.10,-79.10,0.00
38.2,-160,-106,-54.49,-79.10,-81.74,0.00
38.3,-160,-104,-56.25,-81.74,-84.37,0.00
38.4,-160,-106,-54.49,-84.37,-81.74,0.00
38.6,-160,-107,-52.73,-81.74,-79.10,0.00
38.7,-160,-107,-52.73,-79.10,-79.10,0.00
38.8,-160,-107,-52.73,-79.10,-79.10,0.00
38.9,-160,-106,-54.49,-79.10,-81.74,0.00
39.0,-160,-106,-54.49,-81.74,-81.74,0.00
39.1,-160,-106,-54.49,-81.74,-81.74,0.00
39.2,-160,-106,-54.49,-81.74,-81.74,0.00
39.4,-160,-106,-54.49,-81.74,-81.74,0.00
39.5,-160,-106,-54.49,-81.74,-81.74,0.00
39.6,-160,-107,-52.73,-81.74,-79.10,0.00
39.7,-160,-106,-54.49,-79.10,-81.74,0.00
39.8,-160,-106,-54.49,-81.74,-81.74,0.00
39.9,-160,-106,-54.49,-81.74,-81.74,0.00
40.0,-160,-106,-54.49,-81.74,-81.74,0.00
40.2,-160,-107,-52.73,-81.74,-79.10,0.00
40.3,-160,-106,-54.49,-79.10,-81.74,0.00
40.4,-160,-106,-54.49,-81.74,-81.74,0.00
40.5,-160,-106,-54.49,-81.74,-81.74,0.00
40.6,-160,-106,-54.49,-81.74,-81.74,0.00
40.7,-160,-106,-54.49,-81.74,-81.74,0.00
40.8,-160,-104,-56.25,-81.74,-84.37,0.00
41.0,-160,-104,-56.25,-84.37,-84.37,0.00
41.1,-160,-106,-54.49,-84.37,-81.74,0.00
41.2,-160,-107,-52.73,-81.74,-79.10,0.00
41.3,-160,-107,-52.73,-79.10,-79.10,0.00
41.4,-160,-106,-54.49,-79.10,-81.74,0.00
41.5,-160,-104,-56.25,-81.74,-84.37,0.00
41.6,-160,-106,-54.49,-84.37,-81.74,0.00
41.8,-160,-104,-56.25,-81.74,-84.37,0.00
41.9,-160,-107,-52.73,-84.37,-79.10,0.00
42.0,-160,-106,-54.49,-79.10,-81.74,0.00
42.1,-160,-107,-52.73,-81.74,-79.10,0.00
42.2,-160,-106,-54.49,-79.10,-81.74,0.00
42.3,-160,-106,-54.49,-81.74,-81.74,0.00
42.4,-160,-106,-54.49,-81.74,-81.74,0.00
42.6,-160,-106,-54.49,-81.74,-81.74,0.00
42.7,-160,-106,-54.49,-81.74,-81.74,0.00
42.8,-160,-106,-54.49,-81.74,-81.74,0.00
42.9,-160,-106,-54.49,-81.74,-81.74,0.00
43.0,-160,-106,-54.49,-81.74,-81.74,0.00
43.1,-160,-107,-52.73,-81.74,-79.10,0.00
43.2,-160,-106,-54.49,-79.10,-81.74,0.00
43.4,-160,-106,-54.49,-81.74,-81.74,0.00
43.5,-160,-106,-54.49,-81.74,-81.74,0.00
43.6,-160,-106,-54.49,-81.74,-81.74,0.00
43.7,-160,-106,-54.49,-81.74,-81.74,0.00
43.8,-160,-107,-52.73,-81.74,-79.10,0.00
43.9,-160,-106,-54.49,-79.10,-81.74,0.00
44.0,-160,-104,-56.25,-81.74,-84.37,0.00
44.2,-160,-106,-54.49,-84.37,-81.74,0.00
44.3,-160,-106,-54.49,-81.74,-81.74,0.00
44.4,-160,-107,-52.73,-81.74,-79.10,0.00
44.5,-160,-106,-54.49,-79.10,-81.74,0.00
44.6,-160,-106,-54.49,-81.74,-81.74,0.00
44.7,-160,-104,-56.25,-81.74,-84.37,0.00
44.8,-160,-106,-54.49,-84.37,-81.74,0.00
45.0,-160,-107,-52.73,-81.74,-79.10,0.00
45.1,-160,-106,-54.49,-79.10,-81.74,0.00
45.2,-160,-107,-52.73,-81.74,-79.10,0.00
45.3,-160,-106,-54.49,-79.10,-81.74,0.00
45.4,-160,-106,-54.49,-81.74,-81.74,0.00
45.5,-160,-104,-56.25,-81.74,-84.37,0.00
45.6,-160,-107,-52.73,-84.37,-79.10,0.00
45.8,-160,-107,-52.73,-79.10,-79.10,0.00
45.9,-160,-107,-52.73,-79.10,-79.10,0.00
46.0,-160,-106,-54.49,-79.10,-81.74,0.00
