Tempo: 2.2s	Setpoint: 159 RPM		Vel.: 0 RPM	erro: 159.00 RPM		Controle: 0.00	AcaoP: 95.40	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 2.3s	Setpoint: 159 RPM		Vel.: 5 RPM	erro: 153.72 RPM		Controle: 95.40	AcaoP: 92.23	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 2.4s	Setpoint: 159 RPM		Vel.: 44 RPM	erro: 115.04 RPM		Controle: 92.23	AcaoP: 69.02	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 2.5s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 69.02	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 2.6s	Setpoint: 160 RPM		Vel.: 93 RPM	erro: 66.80 RPM		Controle: 53.20	AcaoP: 40.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 2.7s	Setpoint: 159 RPM		Vel.: 91 RPM	erro: 67.56 RPM		Controle: 40.08	AcaoP: 40.53	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 2.9s	Setpoint: 159 RPM		Vel.: 79 RPM	erro: 79.87 RPM		Controle: 40.53	AcaoP: 47.92	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.0s	Setpoint: 159 RPM		Vel.: 67 RPM	erro: 92.18 RPM		Controle: 47.92	AcaoP: 55.31	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.1s	Setpoint: 159 RPM		Vel.: 60 RPM	erro: 99.21 RPM		Controle: 55.31	AcaoP: 59.53	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.2s	Setpoint: 159 RPM		Vel.: 62 RPM	erro: 97.45 RPM		Controle: 59.53	AcaoP: 58.47	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.3s	Setpoint: 160 RPM		Vel.: 67 RPM	erro: 93.18 RPM		Controle: 58.47	AcaoP: 55.91	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.5s	Setpoint: 160 RPM		Vel.: 72 RPM	erro: 87.90 RPM		Controle: 55.91	AcaoP: 52.74	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.6s	Setpoint: 159 RPM		Vel.: 74 RPM	erro: 85.14 RPM		Controle: 52.74	AcaoP: 51.09	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.7s	Setpoint: 159 RPM		Vel.: 72 RPM	erro: 86.90 RPM		Controle: 51.09	AcaoP: 52.14	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.8s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 52.14	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.9s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 54.25	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.1s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 54.25	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.2s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.3s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 53.20	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.4s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.80	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.5s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.7s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.8s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.9s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.0s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 54.25	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.1s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 54.25	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.3s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.80	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.4s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.5s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.6s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.8s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.9s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.0s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 54.25	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.1s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.80	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.2s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.4s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.5s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.6s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.7s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.8s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 54.25	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
