Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI
0.0,-160,0,-160.00,0.00,0.00,0.00
2.2,-160,0,-160.00,0.00,-112.00,0.00
2.3,-160,-11,-149.45,-112.00,-104.61,0.00
2.4,-160,-60,-100.21,-104.61,-70.15,0.00
2.5,-160,-83,-77.35,-70.15,-54.15,0.00
2.6,-160,-84,-75.59,-54.15,-52.91,0.00
2.7,-160,-76,-84.38,-52.91,-59.07,0.00
2.8,-160,-74,-86.14,-59.07,-60.30,0.00
2.9,-160,-70,-89.66,-60.30,-62.76,0.00
3.0,-160,-67,-93.18,-62.76,-65.22,0.00
3.1,-160,-69,-91.42,-65.22,-63.99,0.00
3.3,-160,-70,-89.66,-63.99,-62.76,0.00
3.4,-160,-72,-87.90,-62.76,-61.53,0.00
3.5,-160,-72,-87.90,-61.53,-61.53,0.00
3.6,-160,-70,-89.66,-61.53,-62.76,0.00
3.7,-160,-69,-91.42,-62.76,-63.99,0.00
3.8,-160,-70,-89.66,-63.99,-62.76,0.00
3.9,-160,-70,-89.66,-62.76,-62.76,0.00
4.0,-160,-72,-87.90,-62.76,-61.53,0.00
4.2,-160,-70,-89.66,-61.53,-62.76,0.00
4.3,-160,-72,-87.90,-62.76,-61.53,0.00
4.4,-160,-70,-89.66,-61.53,-62.76,0.00
4.5,-160,-72,-87.90,-62.76,-61.53,0.00
4.6,-160,-70,-89.66,-61.53,-62.76,0.00
4.7,-160,-72,-87.90,-62.76,-61.53,0.00
4.8,-160,-70,-89.66,-61.53,-62.76,0.00
4.9,-160,-72,-87.90,-62.76,-61.53,0.00
5.1,-160,-70,-89.66,-61.53,-62.76,0.00
5.2,-160,-72,-87.90,-62.76,-61.53,0.00
5.3,-160,-70,-89.66,-61.53,-62.76,0.00
5.4,-160,-72,-87.90,-62.76,-61.53,0.00
5.5,-160,-72,-87.90,-61.53,-61.53,0.00
5.6,-160,-70,-89.66,-61.53,-62.76,0.00
5.7,-160,-72,-87.90,-62.76,-61.53,0.00
5.8,-160,-70,-89.66,-61.53,-62.76,0.00
6.0,-160,-72,-87.90,-62.76,-61.53,0.00
6.1,-160,-70,-89.66,-61.53,-62.76,0.00
6.2,-160,-72,-87.90,-62.76,-61.53,0.00
6.3,-160,-70,-89.66,-61.53,-62.76,0.00
6.4,-160,-70,-89.66,-62.76,-62.76,0.00
6.5,-160,-72,-87.90,-62.76,-61.53,0.00
6.6,-160,-70,-89.66,-61.53,-62.76,0.00
6.7,-160,-72,-87.90,-62.76,-61.53,0.00
6.9,-160,-72,-87.90,-61.53,-61.53,0.00
7.0,-160,-70,-89.66,-61.53,-62.76,0.00
7.1,-160,-72,-87.90,-62.76,-61.53,0.00
7.2,-160,-70,-89.66,-61.53,-62.76,0.00
7.3,-160,-72,-87.90,-62.76,-61.53,0.00
7.4,-160,-70,-89.66,-61.53,-62.76,0.00
7.5,-160,-70,-89.66,-62.76,-62.76,0.00
7.6,-160,-72,-87.90,-62.76,-61.53,0.00
7.8,-160,-70,-89.66,-61.53,-62.76,0.00
7.9,-160,-72,-87.90,-62.76,-61.53,0.00
8.0,-160,-72,-87.90,-61.53,-61.53,0.00
8.1,-160,-70,-89.66,-61.53,-62.76,0.00
8.2,-160,-70,-89.66,-62.76,-62.76,0.00
8.3,-160,-72,-87.90,-62.76,-61.53,0.00
8.4,-160,-70,-89.66,-61.53,-62.76,0.00
8.5,-160,-72,-87.90,-62.76,-61.53,0.00
8.6,-160,-70,-89.66,-61.53,-62.76,0.00
8.8,-160,-70,-89.66,-62.76,-62.76,0.00
8.9,-160,-72,-87.90,-62.76,-61.53,0.00
9.0,-160,-72,-87.90,-61.53,-61.53,0.00
9.1,-160,-70,-89.66,-61.53,-62.76,0.00
9.2,-160,-72,-87.90,-62.76,-61.53,0.00
9.3,-160,-72,-87.90,-61.53,-61.53,0.00
9.4,-160,-70,-89.66,-61.53,-62.76,0.00
9.5,-160,-72,-87.90,-62.76,-61.53,0.00
9.7,-160,-70,-89.66,-61.53,-62.76,0.00
9.8,-160,-72,-87.90,-62.76,-61.53,0.00
9.9,-160,-72,-87.90,-61.53,-61.53,0.00
10.0,-160,-70,-89.66,-61.53,-62.76,0.00
10.1,-160,-72,-87.90,-62.76,-61.53,0.00
10.2,-160,-70,-89.66,-61.53,-62.76,0.00
10.3,-160,-69,-91.42,-62.76,-63.99,0.00
10.5,-160,-70,-89.66,-63.99,-62.76,0.00
10.6,-160,-70,-89.66,-62.76,-62.76,0.00
10.7,-160,-70,-89.66,-62.76,-62.76,0.00
10.8,-160,-72,-87.90,-62.76,-61.53,0.00
10.9,-160,-72,-87.90,-61.53,-61.53,0.00
11.0,-160,-72,-87.90,-61.53,-61.53,0.00
11.1,-160,-70,-89.66,-61.53,-62.76,0.00
11.2,-160,-72,-87.90,-62.76,-61.53,0.00
11.4,-160,-72,-87.90,-61.53,-61.53,0.00
11.5,-160,-72,-87.90,-61.53,-61.53,0.00
11.6,-160,-72,-87.90,-61.53,-61.53,0.00
11.7,-160,-70,-89.66,-61.53,-62.76,0.00
11.8,-160,-72,-87.90,-62.76,-61.53,0.00
11.9,-160,-72,-87.90,-61.53,-61.53,0.00
12.0,-160,-72,-87.90,-61.53,-61.53,0.00
12.2,-160,-72,-87.90,-61.53,-61.53,0.00
12.3,-160,-70,-89.66,-61.53,-62.76,0.00
12.4,-160,-72,-87.90,-62.76,-61.53,0.00
12.5,-160,-72,-87.90,-61.53,-61.53,0.00
12.6,-160,-72,-87.90,-61.53,-61.53,0.00
12.7,-160,-72,-87.90,-61.53,-61.53,0.00
12.8,-160,-72,-87.90,-61.53,-61.53,0.00
12.9,-160,-72,-87.90,-61.53,-61.53,0.00
13.1,-160,-72,-87.90,-61.53,-61.53,0.00
13.2,-160,-72,-87.90,-61.53,-61.53,0.00
13.3,-160,-70,-89.66,-61.53,-62.76,0.00
13.4,-160,-72,-87.90,-62.76,-61.53,0.00
13.5,-160,-72,-87.90,-61.53,-61.53,0.00
13.6,-160,-72,-87.90,-61.53,-61.53,0.00
13.7,-160,-70,-89.66,-61.53,-62.76,0.00
13.9,-160,-72,-87.90,-62.76,-61.53,0.00
14.0,-160,-72,-87.90,-61.53,-61.53,0.00
14.1,-160,-72,-87.90,-61.53,-61.53,0.00
14.2,-160,-72,-87.90,-61.53,-61.53,0.00
14.3,-160,-72,-87.90,-61.53,-61.53,0.00
14.4,-160,-72,-87.90,-61.53,-61.53,0.00
14.5,-160,-70,-89.66,-61.53,-62.76,0.00
