Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoD
2.2,-160,0,-160.00,0.00,-128.00,-1.28
2.3,-160,-7,-152.97,-129.28,-122.37,0.06
2.4,-160,-63,-96.69,-122.32,-77.36,0.45
2.5,-160,-114,-45.70,-76.91,-36.56,0.41
2.6,-160,-137,-22.84,-36.15,-18.27,0.18
2.8,-160,-116,-43.94,-18.09,-35.15,-0.17
2.9,-160,-86,-73.83,-35.32,-59.07,-0.24
3.0,-160,-58,-101.97,-59.31,-81.58,-0.23
3.1,-160,-60,-100.21,-81.80,-80.17,0.01
3.3,-160,-79,-80.87,-80.15,-64.69,0.15
3.4,-160,-98,-61.52,-64.54,-49.22,0.15
3.5,-160,-106,-54.49,-49.06,-43.59,0.06
3.7,-160,-95,-65.04,-43.54,-52.03,-0.08
3.8,-160,-83,-77.35,-52.12,-61.88,-0.10
3.9,-160,-74,-86.14,-61.98,-68.91,-0.07
4.0,-160,-77,-82.63,-68.98,-66.10,0.03
4.2,-160,-84,-75.59,-66.07,-60.47,0.06
4.3,-160,-91,-68.56,-60.42,-54.85,0.06
4.4,-160,-91,-68.56,-54.79,-54.85,0.00
4.5,-160,-90,-70.32,-54.85,-56.25,-0.01
4.7,-160,-84,-75.59,-56.27,-60.47,-0.04
4.8,-160,-81,-79.11,-60.52,-63.29,-0.03
4.9,-160,-83,-77.35,-63.32,-61.88,0.01
5.0,-160,-86,-73.83,-61.87,-59.07,0.03
5.2,-160,-86,-73.83,-59.04,-59.07,0.00
5.3,-160,-88,-72.08,-59.07,-57.66,0.01
5.4,-160,-88,-72.08,-57.65,-57.66,0.00
5.5,-160,-84,-75.59,-57.66,-60.47,-0.03
5.7,-160,-86,-73.83,-60.50,-59.07,0.01
5.8,-160,-84,-75.59,-59.05,-60.47,-0.01
5.9,-160,-86,-73.83,-60.49,-59.07,0.01
6.1,-160,-86,-73.83,-59.05,-59.07,0.00
6.2,-160,-86,-73.83,-59.07,-59.07,0.00
6.3,-160,-86,-73.83,-59.07,-59.07,0.00
6.4,-160,-86,-73.83,-59.07,-59.07,0.00
6.6,-160,-86,-73.83,-59.07,-59.07,0.00
6.7,-160,-86,-73.83,-59.07,-59.07,0.00
6.8,-160,-86,-73.83,-59.07,-59.07,0.00
6.9,-160,-86,-73.83,-59.07,-59.07,0.00
