Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI
2.2,160,0,160.00,0.00,144.00,80.00
2.3,160,28,131.86,224.00,118.68,145.93
2.4,160,114,45.70,264.61,41.13,168.78
2.5,160,148,12.29,209.91,11.06,174.92
2.6,160,151,8.77,185.98,7.89,179.31
2.7,160,148,12.29,187.20,11.06,185.45
2.8,160,146,14.04,196.51,12.64,192.47
2.9,160,158,1.74,205.11,1.56,193.34
3.0,160,162,-1.78,194.90,-1.60,192.45
3.1,160,165,-5.30,190.85,-4.77,189.80
3.2,160,164,-3.54,185.03,-3.19,188.03
3.3,160,165,-5.30,184.84,-4.77,185.38
3.5,160,162,-1.78,180.61,-1.60,184.49
3.6,159,164,-4.54,182.89,-4.09,182.22
3.7,160,162,-1.78,178.13,-1.60,181.33
3.8,160,164,-3.54,179.73,-3.19,179.56
3.9,160,162,-1.78,176.37,-1.60,178.67
4.0,160,162,-1.78,177.06,-1.60,177.78
4.1,160,162,-1.78,176.17,-1.60,176.89
4.2,160,164,-3.54,175.28,-3.19,175.12
4.4,160,162,-1.78,171.93,-1.60,174.22
4.5,160,162,-1.78,172.62,-1.60,173.33
4.6,159,162,-2.78,171.73,-2.50,171.94
4.7,160,160,-0.02,169.44,-0.02,171.93
4.8,160,162,-1.78,171.91,-1.60,171.04
4.9,160,160,-0.02,169.44,-0.02,171.03
5.0,160,160,-0.02,171.01,-0.02,171.02
5.1,160,160,-0.02,171.00,-0.02,171.00
5.2,160,162,-1.78,170.98,-1.60,170.11
5.4,160,160,-0.02,168.51,-0.02,170.10
5.5,160,160,-0.02,170.08,-0.02,170.09
5.6,160,160,-0.02,170.07,-0.02,170.08
5.7,160,160,-0.02,170.06,-0.02,170.07
5.8,159,162,-2.78,170.05,-2.50,168.68
5.9,160,158,1.74,166.17,1.56,169.54
6.0,159,157,2.49,171.11,2.24,170.79
6.1,160,155,5.25,173.03,4.73,173.42
6.2,160,157,3.49,178.14,3.14,175.16
6.3,160,158,1.74,178.31,1.56,176.03
6.5,160,158,1.74,177.59,1.56,176.90
6.6,160,160,-0.02,178.46,-0.02,176.89
6.7,160,162,-1.78,176.87,-1.60,176.00
6.8,160,164,-3.54,174.39,-3.19,174.23
6.9,160,162,-1.78,171.04,-1.60,173.33
7.0,160,160,-0.02,171.73,-0.02,173.32
7.1,160,162,-1.78,173.30,-1.60,172.43
7.2,159,160,-1.02,170.83,-0.92,171.92
7.3,160,160,-0.02,171.00,-0.02,171.91
7.5,160,160,-0.02,171.89,-0.02,171.90
7.6,160,160,-0.02,171.88,-0.02,171.88
7.7,160,162,-1.78,171.86,-1.60,170.99
7.8,160,160,-0.02,169.39,-0.02,170.98
7.9,160,162,-1.78,170.96,-1.60,170.09
8.0,160,160,-0.02,168.49,-0.02,170.08
8.1,160,162,-1.78,170.06,-1.60,169.19
8.2,160,160,-0.02,167.58,-0.02,169.18
8.3,160,160,-0.02,169.16,-0.02,169.17
8.5,160,160,-0.02,169.14,-0.02,169.15
8.6,160,160,-0.02,169.13,-0.02,169.14
8.7,160,162,-1.78,169.12,-1.60,168.25
8.8,160,162,-1.78,166.65,-1.60,167.36
8.9,160,160,-0.02,165.76,-0.02,167.35
9.0,160,160,-0.02,167.33,-0.02,167.34
9.1,160,162,-1.78,167.32,-1.60,166.45
9.2,160,160,-0.02,164.84,-0.02,166.43
9.3,160,160,-0.02,166.41,-0.02,166.42
9.5,159,160,-1.02,166.40,-0.92,165.91
9.6,160,162,-1.78,164.99,-1.60,165.02
9.7,160,160,-0.02,163.42,-0.02,165.01
9.8,160,158,1.74,164.99,1.56,165.87
9.9,160,155,5.25,167.44,4.73,168.50
10.0,160,157,3.49,173.23,3.14,170.25
10.1,157,158,-1.26,173.39,-1.14,169.62
10.2,154,164,-9.54,168.48,-8.59,164.85
10.3,151,164,-12.54,156.26,-11.29,158.57
10.5,148,164,-15.54,147.29,-13.99,150.80
10.6,145,162,-16.78,136.82,-15.10,142.41
10.7,142,157,-14.51,127.31,-13.06,135.16
10.8,140,153,-12.99,122.10,-11.69,128.67
10.9,137,149,-12.47,116.98,-11.23,122.43
11.0,135,146,-10.96,111.20,-9.86,116.95
11.1,132,141,-8.68,107.09,-7.81,112.61
11.3,129,137,-8.16,104.80,-7.35,108.53
11.4,127,135,-8.40,101.18,-7.56,104.33
11.5,125,132,-6.89,96.76,-6.20,100.88
11.6,123,128,-5.37,94.69,-4.83,98.20
11.7,122,125,-2.85,93.37,-2.57,96.77
11.8,121,121,-0.34,94.20,-0.30,96.60
11.9,119,121,-2.34,96.30,-2.10,95.44
12.0,119,121,-2.34,93.33,-2.10,94.27
12.1,118,121,-3.34,92.16,-3.00,92.60
12.3,119,120,-0.58,89.60,-0.52,92.31
12.4,118,118,0.18,91.79,0.16,92.40
12.5,118,116,1.94,92.56,1.75,93.37
12.6,119,114,4.70,95.12,4.23,95.72
