Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI,AcaoD
2.2,-160,,0,-160.00,-128.00,-16.00,-1.28
2.3,-160,,-7,-152.97,-122.37,-31.30,0.06
2.4,-160,,-70,-89.66,-71.73,-40.26,0.51
2.5,-160,,-134,-26.35,-21.08,-42.90,0.51
2.6,-160,,-164,3.54,2.83,-42.54,0.24
2.8,-160,,-142,-17.56,-14.05,-44.30,-0.17
2.9,-160,,-120,-40.42,-32.34,-48.34,-0.18
3.0,-160,,-98,-61.52,-49.22,-54.49,-0.17
3.2,-160,,-100,-59.77,-47.81,-60.47,0.01
3.3,-160,,-120,-40.42,-32.34,-64.51,0.15
3.4,-160,,-141,-19.32,-15.46,-66.45,0.17
3.6,-160,,-144,-15.80,-12.64,-68.03,0.03
3.7,-160,,-141,-19.32,-15.46,-69.96,-0.03
3.8,-160,,-135,-24.60,-19.68,-72.42,-0.04
3.9,-160,,-134,-26.35,-21.08,-75.05,-0.01
4.1,-160,,-135,-24.60,-19.68,-77.51,0.01
4.2,-160,,-139,-21.08,-16.86,-79.62,0.03
4.3,-160,,-142,-17.56,-14.05,-81.38,0.03
4.5,-160,,-142,-17.56,-14.05,-83.13,0.00
4.6,-160,,-146,-14.04,-11.24,-84.54,0.03
4.7,-160,,-144,-15.80,-12.64,-86.12,-0.01
4.8,-160,,-148,-12.29,-9.83,-87.35,0.03
5.0,-160,,-146,-14.04,-11.24,-88.75,-0.01
5.1,-160,,-148,-12.29,-9.83,-89.98,0.01
5.2,-160,,-149,-10.53,-8.42,-91.03,0.01
5.4,-160,,-148,-12.29,-9.83,-92.26,-0.01
5.5,-160,,-149,-10.53,-8.42,-93.31,0.01
5.6,-160,,-151,-8.77,-7.02,-94.19,0.01
5.7,-160,,-149,-10.53,-8.42,-95.24,-0.01
5.9,-160,,-155,-5.25,-4.20,-95.77,0.04
6.0,-160,,-151,-8.77,-7.02,-96.64,-0.03
6.1,-160,,-151,-8.77,-7.02,-97.52,0.00
6.3,-160,,-153,-7.01,-5.61,-98.22,0.01
6.4,-160,,-153,-7.01,-5.61,-98.92,0.00
6.5,-160,,-153,-7.01,-5.61,-99.62,0.00
6.6,-160,,-153,-7.01,-5.61,-100.33,0.00
6.8,-160,,-157,-3.49,-2.79,-100.68,0.03
6.9,-160,,-157,-3.49,-2.79,-101.02,0.00
7.0,-160,,-155,-5.25,-4.20,-101.55,-0.01
7.2,-160,,-157,-3.49,-2.79,-101.90,0.01
7.3,-160,,-155,-5.25,-4.20,-102.42,-0.01
7.4,-160,,-155,-5.25,-4.20,-102.95,0.00
7.5,-160,,-155,-5.25,-4.20,-103.47,0.00
7.7,-160,,-157,-3.49,-2.79,-103.82,0.01
7.8,-160,,-155,-5.25,-4.20,-104.35,-0.01
7.9,-160,,-153,-7.01,-5.61,-105.05,-0.01
8.1,-160,,-153,-7.01,-5.61,-105.75,0.00
8.2,-160,,-153,-7.01,-5.61,-106.45,0.00
8.3,-160,,-157,-3.49,-2.79,-106.80,0.03
8.5,-160,,-157,-3.49,-2.79,-107.15,0.00
8.6,-160,,-158,-1.74,-1.39,-107.32,0.01
8.7,-160,,-158,-1.74,-1.39,-107.50,0.00
8.8,-160,,-158,-1.74,-1.39,-107.67,0.00
9.0,-160,,-157,-3.49,-2.79,-108.02,-0.01
9.1,-160,,-158,-1.74,-1.39,-108.19,0.01
9.2,-160,,-157,-3.49,-2.79,-108.54,-0.01
9.4,-160,,-160,0.02,0.02,-108.54,0.03
9.5,-160,,-157,-3.49,-2.79,-108.89,-0.03
9.6,-160,,-160,0.02,0.02,-108.89,0.03
9.7,-160,,-157,-3.49,-2.79,-109.24,-0.03
9.9,-160,,-160,0.02,0.02,-109.24,0.03
10.0,-160,,-157,-3.49,-2.79,-109.59,-0.03
10.1,-160,,-162,1.78,1.43,-109.41,0.04
10.3,-160,,-160,0.02,0.02,-109.40,-0.01
10.4,-160,,-160,0.02,0.02,-109.40,0.00
10.5,-160,,-158,-1.74,-1.39,-109.58,-0.01
10.6,-160,,-160,0.02,0.02,-109.57,0.01
10.8,-160,,-160,0.02,0.02,-109.57,0.00
10.9,-160,,-158,-1.74,-1.39,-109.74,-0.01
11.0,-160,,-162,1.78,1.43,-109.57,0.03
11.2,-160,,-158,-1.74,-1.39,-109.74,-0.03
11.3,-160,,-162,1.78,1.43,-109.56,0.03
11.4,-160,,-157,-3.49,-2.79,-109.91,-0.04
11.5,-160,,-160,0.02,0.02,-109.91,0.03
11.7,-160,,-158,-1.74,-1.39,-110.08,-0.01
11.8,-160,,-164,3.54,2.83,-109.73,0.04
11.9,-160,,-160,0.02,0.02,-109.73,-0.03
12.1,-160,,-160,0.02,0.02,-109.72,0.00
12.2,-160,,-158,-1.74,-1.39,-109.90,-0.01
12.3,-160,,-164,3.54,2.83,-109.54,0.04
12.5,-160,,-160,0.02,0.02,-109.54,-0.03
12.6,-160,,-160,0.02,0.02,-109.54,0.00
12.7,-160,,-158,-1.74,-1.39,-109.71,-0.01
12.8,-160,,-164,3.54,2.83,-109.36,0.04
13.0,-160,,-158,-1.74,-1.39,-109.53,-0.04
13.1,-160,,-164,3.54,2.83,-109.18,0.04
13.2,-160,,-158,-1.74,-1.39,-109.35,-0.04
13.4,-160,,-162,1.78,1.43,-109.17,0.03
13.5,-160,,-157,-3.49,-2.79,-109.52,-0.04
13.6,-160,,-162,1.78,1.43,-109.34,0.04
13.7,-160,,-158,-1.74,-1.39,-109.52,-0.03
13.9,-160,,-164,3.54,2.83,-109.16,0.04
14.0,-160,,-158,-1.74,-1.39,-109.34,-0.04
14.1,-160,,-162,1.78,1.43,-109.16,0.03
14.3,-160,,-158,-1.74,-1.39,-109.33,-0.03
14.4,-160,,-164,3.54,2.83,-108.98,0.04
14.5,-160,,-158,-1.74,-1.39,-109.15,-0.04
14.7,-160,,-162,1.78,1.43,-108.97,0.03
14.8,-160,,-158,-1.74,-1.39,-109.15,-0.03
14.9,-160,,-162,1.78,1.43,-108.97,0.03
15.0,-160,,-157,-3.49,-2.79,-109.32,-0.04
15.2,-160,,-160,0.02,0.02,-109.32,0.03
15.3,-160,,-158,-1.74,-1.39,-109.49,-0.01
15.4,-160,,-162,1.78,1.43,-109.31,0.03
15.6,-160,,-158,-1.74,-1.39,-109.48,-0.03
15.7,-160,,-162,1.78,1.43,-109.31,0.03
15.8,-160,,-158,-1.74,-1.39,-109.48,-0.03
15.9,-160,,-162,1.78,1.43,-109.30,0.03
16.1,-160,,-158,-1.74,-1.39,-109.48,-0.03
16.2,-160,,-162,1.78,1.43,-109.30,0.03
16.3,-160,,-158,-1.74,-1.39,-109.47,-0.03
16.5,-160,,-162,1.78,1.43,-109.29,0.03
16.6,-160,,-160,0.02,0.02,-109.29,-0.01
16.7,-160,,-160,0.02,0.02,-109.29,0.00
16.8,-160,,-160,0.02,0.02,-109.29,0.00
17.0,-160,,-158,-1.74,-1.39,-109.46,-0.01
17.1,-160,,-164,3.54,2.83,-109.10,0.04
17.2,-160,,-160,0.02,0.02,-109.10,-0.03
17.4,-160,,-160,0.02,0.02,-109.10,0.00
17.5,-160,,-160,0.02,0.02,-109.10,0.00
17.6,-160,,-158,-1.74,-1.39,-109.27,-0.01
17.8,-160,,-164,3.54,2.83,-108.92,0.04
17.9,-160,,-160,0.02,0.02,-108.91,-0.03
18.0,-160,,-160,0.02,0.02,-108.91,0.00
