Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI,AcaoD
2.2,-160,0,-160.00,0.00,-96.00,-120.00,-0.17
2.9,-160,-128,-32.22,-216.17,-19.33,-144.16,0.14
3.7,-160,-155,-4.55,-163.35,-2.73,-147.57,0.03
4.4,-160,-147,-12.52,-150.27,-7.51,-156.96,-0.01
5.2,-160,-150,-9.71,-164.48,-5.82,-164.24,0.00
5.9,-160,-153,-6.89,-170.07,-4.14,-169.41,0.00
6.7,-160,-154,-6.19,-173.55,-3.71,-174.06,0.00
7.4,-160,-155,-5.49,-177.77,-3.29,-178.17,0.00
8.2,-160,-156,-4.31,-181.46,-2.59,-181.41,0.00
8.9,-160,-158,-1.97,-183.99,-1.18,-182.88,0.00
9.7,-160,-158,-2.20,-184.06,-1.32,-184.54,-0.00
10.4,-160,-158,-1.74,-185.86,-1.04,-185.84,0.00
11.2,-160,-158,-1.97,-186.88,-1.18,-187.32,-0.00
11.9,-160,-158,-2.20,-188.50,-1.32,-188.97,-0.00
12.7,-160,-158,-1.74,-190.29,-1.04,-190.27,0.00
13.4,-160,-158,-1.97,-191.31,-1.18,-191.75,-0.00
14.2,-160,-158,-1.97,-192.93,-1.18,-193.22,0.00
14.9,-160,-158,-1.97,-194.41,-1.18,-194.70,0.00
15.7,-160,-158,-1.97,-195.88,-1.18,-196.18,0.00
16.4,-160,-158,-1.97,-197.36,-1.18,-197.66,0.00
17.2,-160,-158,-1.97,-198.84,-1.18,-199.13,0.00
17.9,-160,-158,-1.97,-200.31,-1.18,-200.61,0.00
18.7,-160,-158,-1.97,-201.79,-1.18,-202.09,0.00
19.4,-160,-158,-1.97,-203.27,-1.18,-203.56,0.00
20.2,-160,-158,-1.97,-204.75,-1.18,-205.04,0.00
21.0,-160,-158,-1.74,-206.22,-1.04,-206.34,0.00
21.7,-160,-158,-1.97,-207.38,-1.18,-207.82,-0.00
22.5,-160,-158,-1.97,-209.00,-1.18,-209.30,0.00
23.2,-160,-158,-1.74,-210.48,-1.04,-210.60,0.00
24.0,-160,-158,-2.20,-211.64,-1.32,-212.25,-0.00
24.7,-160,-158,-1.74,-213.57,-1.04,-213.55,0.00
25.5,-160,-158,-2.20,-214.59,-1.32,-215.21,-0.00
26.2,-160,-158,-1.97,-216.53,-1.18,-216.68,0.00
27.0,-160,-160,-0.33,-217.86,-0.20,-216.93,0.00
27.7,-160,-161,01.08,-217.12,0.65,-216.12,0.00
28.5,-160,-162,02.02,-215.47,1.21,-214.61,0.00
29.2,-160,-162,02.02,-213.40,1.21,-213.10,0.00
30.0,-160,-162,1.78,-211.89,01.07,-211.76,-0.00
30.7,-160,-160,0.14,-210.69,0.08,-211.65,-0.00
31.5,-160,-158,-1.97,-211.57,-1.18,-213.13,-0.00
32.2,-160,-158,-1.74,-214.31,-1.04,-214.43,0.00
33.0,-160,-158,-2.20,-215.47,-1.32,-216.08,-0.00
33.7,-160,-158,-1.74,-217.41,-1.04,-217.39,0.00
34.5,-160,-158,-2.20,-218.43,-1.32,-219.04,-0.00
35.2,-160,-158,-1.97,-220.36,-1.18,-220.52,0.00
36.0,-160,-160,-0.09,-221.70,-0.06,-220.59,0.00
36.7,-160,-162,1.78,-220.64,01.07,-219.25,0.00
37.5,-160,-162,1.78,-218.18,01.07,-217.91,0.00
38.2,-142,-162,19.78,-216.84,11.87,-203.08,0.02
39.0,-138,-159,20.73,-191.19,12.44,-187.53,0.00
